model_id;model;make_id;make
9;Audi;16414;Allroad
9;Audi;16416;A2
9;Audi;16581;50
9;Audi;18000;QUATTRO
9;Audi;1619;100
9;Audi;1620;200
9;Audi;1622;80
9;Audi;1623;90
9;Audi;1624;A3
9;Audi;1626;A4
9;Audi;1628;A6
9;Audi;1629;A8
9;Audi;1630;Cabriolet
9;Audi;1631;Coupe
9;Audi;1633;S6
9;Audi;1634;V8
9;Audi;2108;S4
9;Audi;2109;S2
9;Audi;15123;S8
9;Audi;15627;TT
9;Audi;15637;S3
9;Audi;15735;RS
9;Audi;18683;Q7
9;Audi;18925;R8
9;Audi;19047;A5
9;Audi;19048;S5
9;Audi;19083;A1
9;Audi;19155;Q5
9;Audi;19216;A7
9;Audi;19715;Q3
9;Audi;19728;RS2
9;Audi;19729;RS3
9;Audi;19730;RS4
9;Audi;19731;RS5
9;Audi;19732;RS6
9;Audi;20055;TTS
9;Audi;20056;TT RS
9;Audi;74969;RS Q5
9;Audi;20494;A6 allroad
9;Audi;20369;S1
9;Audi;20385;RS Q3
9;Audi;20493;A4 allroad
9;Audi;20155;S7
9;Audi;20295;RS7
9;Audi;20164;SQ5
9;Audi;21001;Others
9;Audi;74373;Q2
9;Audi;74734;Q8
9;Audi;74735;SQ2
9;Audi;74439;SQ7
13;BMW;15953;732
13;BMW;16402;Z8
13;BMW;16406;X5
13;BMW;16436;633
13;BMW;16558;315
13;BMW;16598;745
