model_id;model;make_id;make
54;Opel;16417;Agila
54;Opel;16447;Speedster
54;Opel;16604;GT
54;Opel;16612;Vivaro
54;Opel;18080;Pick Up Sportscap
54;Opel;18341;Meriva
54;Opel;18345;Signum
54;Opel;1915;Ascona
54;Opel;1916;Astra
54;Opel;1917;Calibra
54;Opel;1918;Corsa
54;Opel;1919;Frontera
54;Opel;1920;Kadett
54;Opel;1921;Manta
54;Opel;1922;Monterey
54;Opel;1923;Monza
54;Opel;1924;Omega
54;Opel;1926;Rekord
54;Opel;1927;Senator
54;Opel;1929;Sintra
54;Opel;1930;Tigra
54;Opel;1931;Vectra
54;Opel;2158;Diplomat
54;Opel;14825;Combo
54;Opel;14854;Commodore
54;Opel;15660;Zafira
54;Opel;15740;Arena
54;Opel;15852;Campo
54;Opel;15870;Movano
54;Opel;18827;Antara
54;Opel;19101;Insignia
54;Opel;19749;Ampera
54;Opel;20191;Adam
54;Opel;20381;Zafira Tourer
54;Opel;20148;Mokka
54;Opel;20221;Cascada
54;Opel;20639;Karl
54;Opel;20960;Others
54;Opel;74627;Grandland X
54;Opel;74532;Crossland X
60;Renault;16505;Grand Espace
60;Renault;16616;Avantime
60;Renault;16617;Vel Satis
60;Renault;18100;P 1400
60;Renault;18277;Mascott
60;Renault;18337;R 6
60;Renault;1958;Alpine A310
60;Renault;1959;Alpine A610
60;Renault;1960;Alpine V6
60;Renault;1961;Clio
60;Renault;1962;Espace
60;Renault;1963;Fuego
60;Renault;1964;Laguna
60;Renault;1965;Megane
60;Renault;1966;R 11
60;Renault;1967;R 14
60;Renault;1968;R 18
60;Renault;1969;R 19
60;Renault;1970;R 20
60;Renault;1971;R 21
60;Renault;1972;R 25
60;Renault;1973;R 30
60;Renault;1974;R 4
60;Renault;1975;R 5
60;Renault;1976;R 9
60;Renault;1977;Safrane
60;Renault;1978;Super 5
60;Renault;1979;Twingo
60;Renault;2096;Trafic
60;Renault;2133;Express
60;Renault;14717;Master
60;Renault;14786;Scenic
60;Renault;14830;Coupe
60;Renault;15317;Kangoo
60;Renault;15706;Spider
60;Renault;15737;Rapid
60;Renault;18522;Modus
60;Renault;18711;Grand Scenic
60;Renault;19126;Koleos
60;Renault;19169;Grand Modus
60;Renault;19250;Fluence
60;Renault;19340;Symbol
60;Renault;19341;Logan
60;Renault;19545;Latitude
60;Renault;19552;Wind
60;Renault;21095;Talisman
60;Renault;19725;Others
60;Renault;19755;Sandero
60;Renault;20059;Kangoo Z.E.
60;Renault;20060;Fluence Z.E.
60;Renault;20053;Duster
60;Renault;20054;Sandero Stepway
60;Renault;20058;Twizy
60;Renault;20408;Alpine A110
60;Renault;20228;ZOE
60;Renault;20235;Captur
60;Renault;21077;Kadjar
60;Renault;74771;Alaskan
60;Renault;21182;Messenger
