model;make;country;start_date;run_time;cars;images;errors
Audi;Allroad;AT;2019-01-10 16:44:13.188644;22.563350677490234;2;21;0
Audi;Allroad;BE;2019-01-10 16:44:35.755971;25.894259214401245;2;25;0
Audi;Allroad;DE;2019-01-10 16:45:01.653243;364.21409940719604;34;350;0
Audi;Allroad;ES;2019-01-10 16:51:05.871323;396.7243175506592;34;365;0
Audi;Allroad;FR;2019-01-10 16:57:42.614968;404.74483013153076;35;381;0
Audi;Allroad;IT;2019-01-10 17:04:27.363801;44.720736265182495;3;41;0
Audi;Allroad;LU;2019-01-10 17:05:12.086546;2.3718228340148926;0;0;0
Audi;Allroad;NE;2019-01-10 17:05:14.462376;192.1695659160614;15;189;0
Audi;A2;AT;2019-01-10 17:08:26.638927;149.6574261188507;18;138;0
Audi;A2;BE;2019-01-10 17:10:56.299362;250.95702719688416;25;236;0
Audi;A2;DE;2019-01-10 17:15:07.256864;645.73357629776;50;640;0
Audi;A2;ES;2019-01-10 17:25:52.990918;284.198757648468;29;269;0
Audi;A2;FR;2019-01-10 17:30:37.190662;106.5758547782898;12;96;0
Audi;A2;IT;2019-01-10 17:32:23.767019;1352.0682106018066;157;1291;0
Audi;A2;LU;2019-01-10 17:54:55.836206;2.205056667327881;0;0;0
Audi;A2;NE;2019-01-10 17:54:58.042266;622.576545715332;60;603;0
Audi;50;AT;2019-01-10 18:05:20.620316;2.1780898571014404;0;0;0
Audi;50;BE;2019-01-10 18:05:22.798907;11.01323938369751;1;7;0
Audi;50;DE;2019-01-10 18:05:33.813148;12.082750797271729;1;8;0
Audi;50;ES;2019-01-10 18:05:45.896400;2.03594708442688;0;0;0
Audi;50;FR;2019-01-10 18:05:47.932849;1.6769416332244873;0;0;0
Audi;50;IT;2019-01-10 18:05:49.610759;6.781702280044556;1;3;0
Audi;50;LU;2019-01-10 18:05:56.393421;2.800018548965454;0;0;0
Audi;50;NE;2019-01-10 18:05:59.193941;3.1443588733673096;1;0;0
Audi;QUATTRO;AT;2019-01-10 18:06:02.368355;1006.6040921211243;76;927;0
Audi;QUATTRO;BE;2019-01-10 18:22:48.973422;89.1366114616394;7;82;0
Audi;QUATTRO;DE;2019-01-10 18:24:18.111035;284.9756271839142;24;279;0
Audi;QUATTRO;ES;2019-01-10 18:29:03.087631;73.33927726745605;6;68;0
Audi;QUATTRO;FR;2019-01-10 18:30:16.427410;14.64846134185791;2;9;0
Audi;QUATTRO;IT;2019-01-10 18:30:31.076870;99.45446252822876;10;90;0
Audi;QUATTRO;LU;2019-01-10 18:32:10.532301;2.1155807971954346;0;0;0
Audi;QUATTRO;NE;2019-01-10 18:32:12.648371;123.12062573432922;9;110;0
Audi;100;AT;2019-01-10 18:34:15.771002;164.7807421684265;23;152;0
Audi;100;BE;2019-01-10 18:37:00.552749;133.86366486549377;11;112;0
Audi;100;DE;2019-01-10 18:39:14.417417;1294.4434728622437;128;1215;0
Audi;100;ES;2019-01-10 19:00:48.861892;99.57740664482117;12;92;0
Audi;100;FR;2019-01-10 19:02:28.439780;29.091145515441895;3;25;0
Audi;100;IT;2019-01-10 19:02:57.531427;191.3961365222931;18;174;0
Audi;100;LU;2019-01-10 19:06:08.928566;2.113417863845825;0;0;0
Audi;100;NE;2019-01-10 19:06:11.042987;216.9234263896942;17;200;0
Audi;200;AT;2019-01-10 19:09:47.967915;22.466211080551147;2;21;0
