model;make;country;start_date;run_time;cars;images;errors;;;;;
BMW;440;AT;2019-02-11 17:43:23.528067;278.690105676651;20;282;0;;;;;
BMW;440;BE;2019-02-11 17:48:02.218173;60.46907901763916;6;55;0;;;;;
BMW;440;DE;2019-02-11 17:49:02.687252;2311.4289212226868;200;2296;0;;;;;
BMW;440;ES;2019-02-11 18:27:34.117171;134.5202968120575;9;132;0;;;;;
BMW;440;FR;2019-02-11 18:29:48.636470;959.4234313964844;76;983;0;;;;;
BMW;440;IT;2019-02-11 18:45:48.059901;32.05219650268555;2;26;0;;;;;
BMW;440;LU;2019-02-11 18:46:20.112098;1.6296696662902832;0;0;0;;;;;
BMW;440;NE;2019-02-11 18:46:21.741767;919.3643901348114;73;947;0;;;;;
BMW;140;AT;2019-02-11 19:01:41.107156;113.01649856567383;9;110;0;;;;;
BMW;140;BE;2019-02-11 19:03:34.123655;193.4302535057068;15;189;0;;;;;
BMW;140;DE;2019-02-11 19:06:47.553908;2365.978996038437;200;2331;0;;;;;
BMW;140;ES;2019-02-11 19:46:13.532905;63.92517614364624;5;57;0;;;;;
BMW;140;FR;2019-02-11 19:47:17.458081;83.40190625190735;8;83;0;;;;;
BMW;140;IT;2019-02-11 19:48:40.859987;232.05401706695557;17;226;0;;;;;
BMW;140;LU;2019-02-11 19:52:32.914004;61.724822998046875;6;60;0;;;;;
BMW;140;NE;2019-02-11 19:53:34.638827;192.10789036750793;14;197;0;;;;;
BMW;230;AT;2019-02-11 19:56:46.747715;32.95878291130066;2;30;0;;;;;
BMW;230;BE;2019-02-11 19:57:19.706497;48.98125767707825;6;41;0;;;;;
BMW;230;DE;2019-02-11 19:58:08.687755;842.440808057785;65;849;0;;;;;
BMW;230;ES;2019-02-11 20:12:11.128563;52.817697048187256;4;50;0;;;;;
BMW;230;FR;2019-02-11 20:13:03.946260;19.069971084594727;1;15;0;;;;;
BMW;230;IT;2019-02-11 20:13:23.016231;1.856032371520996;0;0;0;;;;;
BMW;230;LU;2019-02-11 20:13:24.872264;17.96591877937317;1;15;0;;;;;
BMW;230;NE;2019-02-11 20:13:42.838183;66.50653433799744;6;67;0;;;;;
BMW;240;AT;2019-02-11 20:14:49.345715;115.23881030082703;8;109;0;;;;;
BMW;240;BE;2019-02-11 20:16:44.584526;46.96730327606201;5;41;0;;;;;
BMW;240;DE;2019-02-11 20:17:31.551829;2337.7507746219635;200;2309;0;;;;;
BMW;240;ES;2019-02-11 20:56:29.302604;124.99087905883789;9;123;0;;;;;
BMW;240;FR;2019-02-11 20:58:34.293483;19.819188356399536;2;15;0;;;;;
BMW;240;IT;2019-02-11 20:58:54.113668;106.06960773468018;6;105;0;;;;;
BMW;240;LU;2019-02-11 21:00:40.183276;12.30032205581665;1;12;0;;;;;
BMW;240;NE;2019-02-11 21:00:52.483598;156.19845151901245;12;155;0;;;;;
BMW;620;AT;2019-02-11 21:03:28.683048;1.8200156688690186;0;0;0;;;;;
BMW;620;BE;2019-02-11 21:03:30.503064;25.770442008972168;2;19;0;;;;;
BMW;620;DE;2019-02-11 21:03:56.273506;230.09645915031433;23;229;0;;;;;
BMW;620;ES;2019-02-11 21:07:46.369965;51.21787977218628;4;45;0;;;;;
BMW;620;FR;2019-02-11 21:08:37.587845;50.59618616104126;5;50;0;;;;;
BMW;620;IT;2019-02-11 21:09:28.184031;532.5033955574036;41;516;0;;;;;
BMW;620;LU;2019-02-11 21:18:20.687427;2.019472122192383;0;0;0;;;;;
BMW;620;NE;2019-02-11 21:18:22.706899;77.82219910621643;7;79;0;;;;;
Ford;Express;AT;2019-02-11 21:19:40.530096;2.053377628326416;0;0;0;;;;;
Ford;Express;BE;2019-02-11 21:19:42.583474;1.9965338706970215;0;0;0;;;;;
Ford;Express;DE;2019-02-11 21:19:44.580007;16.898730993270874;1;15;0;;;;;
Ford;Express;ES;2019-02-11 21:20:01.478738;2.0085010528564453;0;0;0;;;;;
Ford;Express;FR;2019-02-11 21:20:03.487240;12.666319370269775;1;9;0;;;;;
Ford;Express;IT;2019-02-11 21:20:16.153559;1.8230092525482178;0;0;0;;;;;
Ford;Express;LU;2019-02-11 21:20:17.976568;1.6444969177246094;0;0;0;;;;;
Ford;Express;NE;2019-02-11 21:20:19.621065;2.2139384746551514;0;0;0;;;;;
Ford;Expedition;AT;2019-02-11 21:20:21.836001;15.184425830841064;1;13;0;;;;;
Ford;Expedition;BE;2019-02-11 21:20:37.020427;131.281081199646;10;123;0;;;;;
Ford;Expedition;DE;2019-02-11 21:22:48.301508;58.61348748207092;4;52;0;;;;;
Ford;Expedition;ES;2019-02-11 21:23:46.914996;7.544342041015625;1;5;0;;;;;
Ford;Expedition;FR;2019-02-11 21:23:54.459338;12.343237161636353;1;10;0;;;;;
Ford;Expedition;IT;2019-02-11 21:24:06.802575;15.86752724647522;1;15;0;;;;;
Ford;Expedition;LU;2019-02-11 21:24:22.670102;2.501152276992798;0;0;0;;;;;
Ford;Expedition;NE;2019-02-11 21:24:25.171255;32.26775240898132;2;30;0;;;;;
Ford;F 150;AT;2019-02-11 21:24:57.440005;227.15148448944092;18;227;0;;;;;
Ford;F 150;BE;2019-02-11 21:28:44.591490;380.4746856689453;25;361;0;;;;;
Ford;F 150;DE;2019-02-11 21:35:05.066176;2154.7448506355286;162;2174;0;;;;;
Ford;F 150;ES;2019-02-11 22:10:59.811026;211.86570048332214;19;205;0;;;;;
Ford;F 150;FR;2019-02-11 22:14:31.676727;788.9591333866119;71;762;0;;;;;
Ford;F 150;IT;2019-02-11 22:27:40.636859;712.1432147026062;56;671;0;;;;;
Ford;F 150;LU;2019-02-11 22:39:32.780074;1.7655515670776367;0;0;0;;;;;
Ford;F 150;NE;2019-02-11 22:39:34.545625;2530.370989561081;180;2532;0;;;;;
Ford;F 250;AT;2019-02-11 23:21:44.917612;18.11765217781067;1;15;0;;;;;
Ford;F 250;BE;2019-02-11 23:22:03.035265;51.25513410568237;4;46;0;;;;;
Ford;F 250;DE;2019-02-11 23:22:54.290398;525.9015083312988;39;533;0;;;;;
Ford;F 250;ES;2019-02-11 23:31:40.192905;17.305506706237793;2;13;0;;;;;
Ford;F 250;FR;2019-02-11 23:31:57.500405;69.93010759353638;7;60;0;;;;;
Ford;F 250;IT;2019-02-11 23:33:07.431511;84.81611442565918;7;80;0;;;;;
Ford;F 250;LU;2019-02-11 23:34:32.248624;2.1472294330596924;0;0;0;;;;;
Ford;F 250;NE;2019-02-11 23:34:34.396851;240.46300315856934;16;247;0;;;;;
Ford;Excursion;AT;2019-02-11 23:38:34.862847;2.302812099456787;0;0;0;;;;;
Ford;Excursion;BE;2019-02-11 23:38:37.166657;14.36440372467041;1;11;0;;;;;
Ford;Excursion;DE;2019-02-11 23:38:51.533056;15.477414846420288;1;14;0;;;;;
Ford;Excursion;ES;2019-02-11 23:39:07.011469;16.763956785202026;1;15;0;;;;;
Ford;Excursion;FR;2019-02-11 23:39:23.776423;1.442124605178833;0;0;0;;;;;
Ford;Excursion;IT;2019-02-11 23:39:25.219546;1.436141014099121;0;0;0;;;;;
Ford;Excursion;LU;2019-02-11 23:39:26.656685;2.05647349357605;0;0;0;;;;;
Ford;Excursion;NE;2019-02-11 23:39:28.714156;1.6914539337158203;0;0;0;;;;;
Ford;Fusion;AT;2019-02-11 23:39:30.408603;325.0676300525665;36;302;0;;;;;
Ford;Fusion;BE;2019-02-11 23:44:55.477231;492.77710342407227;57;466;0;;;;;
Ford;Fusion;DE;2019-02-11 23:53:08.255332;2293.4568288326263;200;2277;1;;;;;
Ford;Fusion;ES;2019-02-12 00:31:21.715154;524.0496456623077;45;525;0;;;;;
Ford;Fusion;FR;2019-02-12 00:40:05.765797;181.7256817817688;31;170;0;;;;;
Ford;Fusion;IT;2019-02-12 00:43:07.492477;1896.067125082016;200;1824;0;;;;;
Ford;Fusion;LU;2019-02-12 01:14:43.560599;1.6715164184570312;0;0;0;;;;;
Ford;Fusion;NE;2019-02-12 01:14:45.233114;919.4857630729675;70;920;0;;;;;
Ford;Econoline;AT;2019-02-12 01:30:04.722867;11.041411399841309;1;8;0;;;;;
Ford;Econoline;BE;2019-02-12 01:30:15.765278;55.80150508880615;4;51;0;;;;;
Ford;Econoline;DE;2019-02-12 01:31:11.567746;106.9982841014862;8;102;0;;;;;
Ford;Econoline;ES;2019-02-12 01:32:58.567027;1.7672638893127441;0;0;0;;;;;
Ford;Econoline;FR;2019-02-12 01:33:00.335289;57.08702492713928;5;51;0;;;;;
Ford;Econoline;IT;2019-02-12 01:33:57.423313;34.809720039367676;4;30;0;;;;;
Ford;Econoline;LU;2019-02-12 01:34:32.234031;2.7256956100463867;0;0;0;;;;;
Ford;Econoline;NE;2019-02-12 01:34:34.960725;90.41272926330566;7;87;0;;;;;
Ford;Mercury;AT;2019-02-12 01:36:05.376446;1.942793846130371;0;0;0;;;;;
Ford;Mercury;BE;2019-02-12 01:36:07.320238;47.13070511817932;3;41;0;;;;;
Ford;Mercury;DE;2019-02-12 01:36:54.451941;361.4584538936615;26;350;0;;;;;
Ford;Mercury;ES;2019-02-12 01:42:55.911393;67.4851701259613;5;66;0;;;;;
Ford;Mercury;FR;2019-02-12 01:44:03.397561;2.1372718811035156;0;0;0;;;;;
Ford;Mercury;IT;2019-02-12 01:44:05.535831;101.97773933410645;11;101;0;;;;;
Ford;Mercury;LU;2019-02-12 01:45:47.514568;1.6994459629058838;0;0;0;;;;;
Ford;Mercury;NE;2019-02-12 01:45:49.216009;44.71917247772217;4;41;0;;;;;
Ford;Streetka;AT;2019-02-12 01:46:33.938173;59.977296352386475;4;54;0;;;;;
Ford;Streetka;BE;2019-02-12 01:47:33.916468;45.31157994270325;7;44;0;;;;;
Ford;Streetka;DE;2019-02-12 01:48:19.229046;1045.7308928966522;106;1017;0;;;;;
Ford;Streetka;ES;2019-02-12 02:05:44.960938;18.774689197540283;2;16;0;;;;;
Ford;Streetka;FR;2019-02-12 02:06:03.737623;17.47816276550293;2;13;0;;;;;
Ford;Streetka;IT;2019-02-12 02:06:21.216784;66.43797278404236;7;60;0;;;;;
Ford;Streetka;LU;2019-02-12 02:07:27.657749;1.9258384704589844;0;0;0;;;;;
Ford;Streetka;NE;2019-02-12 02:07:29.584586;258.01963353157043;25;252;0;;;;;
Ford;F 350;AT;2019-02-12 02:11:47.607211;24.601086139678955;2;19;0;;;;;
Ford;F 350;BE;2019-02-12 02:12:12.209296;22.491729974746704;2;18;0;;;;;
Ford;F 350;DE;2019-02-12 02:12:34.705015;158.3048357963562;12;151;0;;;;;
Ford;F 350;ES;2019-02-12 02:15:13.010849;18.410664319992065;1;15;0;;;;;
Ford;F 350;FR;2019-02-12 02:15:31.422512;28.748961687088013;3;24;0;;;;;
Ford;F 350;IT;2019-02-12 02:16:00.172472;55.415512561798096;4;48;0;;;;;
Ford;F 350;LU;2019-02-12 02:16:55.588983;2.1472463607788086;0;0;0;;;;;
Ford;F 350;NE;2019-02-12 02:16:57.737226;58.9301061630249;5;54;0;;;;;
Ford;Focus C-Max;AT;2019-02-12 02:17:56.670325;581.327570438385;57;571;0;;;;;
Ford;Focus C-Max;BE;2019-02-12 02:27:37.998861;391.70514583587646;40;372;0;;;;;
Ford;Focus C-Max;DE;2019-02-12 02:34:09.705005;2274.2313413619995;200;2234;0;;;;;
Ford;Focus C-Max;ES;2019-02-12 03:12:03.936346;709.4902091026306;74;664;0;;;;;
Ford;Focus C-Max;FR;2019-02-12 03:23:53.427553;364.6178312301636;55;344;0;;;;;
