model_id;model;make_id;make
13;BMW;18308;Z4
13;BMW;18327;760
13;BMW;18383;545
13;BMW;18387;X3
13;BMW;18400;645
13;BMW;18480;116
13;BMW;18481;118
13;BMW;18482;120
13;BMW;1639;316
13;BMW;1640;318
13;BMW;1641;320
13;BMW;1642;323
13;BMW;1643;324
13;BMW;1644;325
13;BMW;1645;328
13;BMW;1646;M3
13;BMW;1647;518
13;BMW;1648;520
13;BMW;1649;523
13;BMW;1650;524
13;BMW;1651;525
13;BMW;1652;530
13;BMW;1653;535
13;BMW;1654;540
13;BMW;1655;M5
13;BMW;1656;635
13;BMW;1657;725
13;BMW;1658;728
13;BMW;1659;730
13;BMW;1660;735
13;BMW;1661;740
13;BMW;1662;750
13;BMW;1663;840
13;BMW;1664;850
13;BMW;1665;Z3
13;BMW;1666;Z1
13;BMW;1667;M1
13;BMW;2145;528
13;BMW;2163;2002
13;BMW;15779;330
13;BMW;15780;628
13;BMW;18588;130
13;BMW;18577;M6
13;BMW;18709;650
13;BMW;18710;550
13;BMW;18491;630
13;BMW;18805;335
13;BMW;19078;123
13;BMW;19079;135
13;BMW;19084;125
13;BMW;19110;X6
13;BMW;19242;X1
13;BMW;19541;Active Hybrid 7
13;BMW;19617;Z4 M
13;BMW;21097;340
13;BMW;19714;640
13;BMW;19741;1er M Coupé
13;BMW;20027;Active Hybrid 5
13;BMW;20364;X4
13;BMW;20481;228
13;BMW;20149;114
13;BMW;20174;X5 M
13;BMW;20175;X6 M
13;BMW;20187;Active Hybrid 3
13;BMW;20287;428
13;BMW;20288;435
13;BMW;20289;420
13;BMW;20319;i3
13;BMW;20320;i8
13;BMW;20393;M4
13;BMW;20397;216
13;BMW;20398;418
13;BMW;20399;425
13;BMW;75189;X7
13;BMW;75190;X7 M
13;BMW;20223;Z3 M
13;BMW;20326;220
13;BMW;20327;218
13;BMW;20328;225
13;BMW;20329;235
13;BMW;20330;430
13;BMW;20958;214
13;BMW;21100;830
13;BMW;75109;Active Hybrid X6
13;BMW;21073;Others
13;BMW;21157;M2
13;BMW;74322;X4 M
13;BMW;74769;X2
13;BMW;74335;440
13;BMW;74386;140
13;BMW;74387;230
13;BMW;74388;240
13;BMW;74993;620
29;Ford;16364;Express
29;Ford;16396;Expedition
29;Ford;16518;F 150
29;Ford;16519;F 250
29;Ford;16607;Excursion
29;Ford;18274;Fusion
29;Ford;18295;Econoline
29;Ford;18315;Mercury
29;Ford;18372;Streetka
29;Ford;18389;F 350
29;Ford;18390;Focus C-Max
29;Ford;1756;Capri
29;Ford;1757;Escort
29;Ford;1758;Fiesta
29;Ford;1759;Galaxy
29;Ford;1760;Granada
29;Ford;1761;Ka/Ka+
29;Ford;1762;Maverick
29;Ford;1763;Mondeo
29;Ford;1764;Orion
29;Ford;1765;Scorpio
29;Ford;1766;Sierra
29;Ford;1767;Aerostar
29;Ford;1768;Bronco
29;Ford;1769;Explorer
29;Ford;1770;Probe
29;Ford;1771;Taurus
29;Ford;1772;Windstar
29;Ford;2107;Tourneo
29;Ford;2149;Mustang
29;Ford;2159;Taunus
29;Ford;2160;Transit
29;Ford;2161;Thunderbird
29;Ford;14803;Puma
29;Ford;15537;Focus
29;Ford;15647;Cougar
29;Ford;15721;Courier
29;Ford;15860;M
29;Ford;15861;Crown
29;Ford;15862;Ranger
29;Ford;18837;Freestyle
29;Ford;18633;Econovan
29;Ford;18703;Freestar
29;Ford;18761;S-Max
29;Ford;18708;GT
29;Ford;18913;Edge
29;Ford;18589;Escape
29;Ford;18993;Focus CC
29;Ford;19072;Kuga
29;Ford;19089;C-Max
29;Ford;19260;Grand C-Max
29;Ford;19262;Flex
29;Ford;19721;B-Max
29;Ford;20277;Sportka
29;Ford;20318;Transit Connect
29;Ford;20303;EcoSport
29;Ford;20426;Connect Elekto
29;Ford;20485;F 550
29;Ford;20405;Tourneo Courier
29;Ford;20482;F 1
29;Ford;20224;Torino
29;Ford;20225;Gran Torino
29;Ford;20280;Tourneo Connect
29;Ford;20483;F 100
29;Ford;20484;F 360
29;Ford;20486;F 450
29;Ford;20487;F 650
29;Ford;20488;F Super Duty
29;Ford;75004;RS 200
29;Ford;75100;Consul
29;Ford;75102;Fairlane
29;Ford;75103;Falcon
29;Ford;21012;Others
29;Ford;74248;Transit Custom
29;Ford;74249;Transit Courier
29;Ford;74250;Transit Bus
29;Ford;74251;Tourneo Custom
47;Mercedes-Benz;15942;Vito
47;Mercedes-Benz;15943;Sprinter
47;Mercedes-Benz;15944;LKW/TRUCKS
47;Mercedes-Benz;15955;E 260
47;Mercedes-Benz;15973;C 320
47;Mercedes-Benz;15975;SLK 320
47;Mercedes-Benz;16381;SLR
47;Mercedes-Benz;16438;ML 55 AMG
47;Mercedes-Benz;16446;SLK 230
47;Mercedes-Benz;16481;SL 380
47;Mercedes-Benz;16482;SL 420
47;Mercedes-Benz;16483;SL 350
47;Mercedes-Benz;16484;SL 450
47;Mercedes-Benz;16485;SL 560
47;Mercedes-Benz;16488;C 270
47;Mercedes-Benz;16489;S 55 AMG
47;Mercedes-Benz;16492;CE 200
47;Mercedes-Benz;16506;CLK 55 AMG
47;Mercedes-Benz;16509;SLK 32 AMG
47;Mercedes-Benz;16555;ML 400
47;Mercedes-Benz;16556;ML 500
47;Mercedes-Benz;16575;MB 100
47;Mercedes-Benz;16576;Vaneo
47;Mercedes-Benz;16582;C 32 AMG
47;Mercedes-Benz;18060;SL 55 AMG
47;Mercedes-Benz;18272;Vario
47;Mercedes-Benz;18273;A 210
47;Mercedes-Benz;18288;416
47;Mercedes-Benz;18292;Atego
47;Mercedes-Benz;18293;Actros
47;Mercedes-Benz;18319;ML 350
47;Mercedes-Benz;18368;E 400
47;Mercedes-Benz;18371;C 30 AMG
47;Mercedes-Benz;18394;Viano
47;Mercedes-Benz;18422;C 55 AMG
47;Mercedes-Benz;18423;CL 55 AMG
47;Mercedes-Benz;18424;SLK 55 AMG
47;Mercedes-Benz;18425;G 55 AMG
47;Mercedes-Benz;18476;E 60 AMG
47;Mercedes-Benz;1846;190
47;Mercedes-Benz;1847;200
47;Mercedes-Benz;1848;230
47;Mercedes-Benz;1849;240
47;Mercedes-Benz;1850;250
47;Mercedes-Benz;1851;260
47;Mercedes-Benz;1852;280
47;Mercedes-Benz;1853;300
47;Mercedes-Benz;1854;320
47;Mercedes-Benz;1855;380
47;Mercedes-Benz;1856;400
47;Mercedes-Benz;1857;500
47;Mercedes-Benz;1858;600
47;Mercedes-Benz;1859;C 180
47;Mercedes-Benz;1860;C 200
47;Mercedes-Benz;1861;C 230
47;Mercedes-Benz;1862;E 200
47;Mercedes-Benz;1863;E 220
47;Mercedes-Benz;1864;E 280
47;Mercedes-Benz;1865;E 290
47;Mercedes-Benz;1866;E 420
47;Mercedes-Benz;1867;SL 280
47;Mercedes-Benz;1868;SL 320
47;Mercedes-Benz;1869;SL 500
47;Mercedes-Benz;1870;SL 600
47;Mercedes-Benz;2099;C 280
47;Mercedes-Benz;2117;E 320
47;Mercedes-Benz;2126;420
47;Mercedes-Benz;2127;560
47;Mercedes-Benz;2147;C 220
47;Mercedes-Benz;2162;E 500
