make_id,created,updated,make
9,2019.01.14,2019.01.14,Audi
13,2019.01.14,2019.01.14,BMW
29,2019.01.14,2019.01.14,Ford
47,2019.01.14,2019.01.14,Mercedes-Benz
54,2019.01.14,2019.01.14,Opel
60,2019.01.14,2019.01.14,Renault
74,2019.01.14,2019.01.14,Volkswagen
51539,2019.01.14,2019.01.14,9ff
16396,2019.01.14,2019.01.14,Abarth
14979,2019.01.14,2019.01.14,AC
16429,2019.01.14,2019.01.14,ACM
16356,2019.01.14,2019.01.14,Acura
16352,2019.01.14,2019.01.14,Aixam
6,2019.01.14,2019.01.14,Alfa Romeo
14,2019.01.14,2019.01.14,Alpina
51796,2019.01.14,2019.01.14,Alpine
51545,2019.01.14,2019.01.14,Amphicar
16419,2019.01.14,2019.01.14,Ariel Motor
16427,2019.01.14,2019.01.14,Artega
16431,2019.01.14,2019.01.14,Aspid
8,2019.01.14,2019.01.14,Aston Martin
15643,2019.01.14,2019.01.14,Austin
15644,2019.01.14,2019.01.14,Autobianchi
16437,2019.01.14,2019.01.14,Auverland
51774,2019.01.14,2019.01.14,Baic
16400,2019.01.14,2019.01.14,Bedford
16416,2019.01.14,2019.01.14,Bellier
11,2019.01.14,2019.01.14,Bentley
16418,2019.01.14,2019.01.14,Bolloré
16424,2019.01.14,2019.01.14,Borgward
16367,2019.01.14,2019.01.14,Brilliance
15,2019.01.14,2019.01.14,Bugatti
16,2019.01.14,2019.01.14,Buick
16379,2019.01.14,2019.01.14,BYD
17,2019.01.14,2019.01.14,Cadillac
15672,2019.01.14,2019.01.14,Caravans-Wohnm
16407,2019.01.14,2019.01.14,Casalini
16335,2019.01.14,2019.01.14,Caterham
16401,2019.01.14,2019.01.14,Changhe
16357,2019.01.14,2019.01.14,Chatenet
16384,2019.01.14,2019.01.14,Chery
19,2019.01.14,2019.01.14,Chevrolet
20,2019.01.14,2019.01.14,Chrysler
21,2019.01.14,2019.01.14,Citroen
16411,2019.01.14,2019.01.14,CityEL
16406,2019.01.14,2019.01.14,CMC
16380,2019.01.14,2019.01.14,Corvette
51558,2019.01.14,2019.01.14,Courb
51802,2019.01.14,2019.01.14,Cupra
16360,2019.01.14,2019.01.14,Dacia
22,2019.01.14,2019.01.14,Daewoo
16333,2019.01.14,2019.01.14,DAF
23,2019.01.14,2019.01.14,Daihatsu
16397,2019.01.14,2019.01.14,Daimler
16434,2019.01.14,2019.01.14,Dangel
16423,2019.01.14,2019.01.14,De la Chapelle
51779,2019.01.14,2019.01.14,De Tomaso
16391,2019.01.14,2019.01.14,Derways
51773,2019.01.14,2019.01.14,DFSK
2152,2019.01.14,2019.01.14,Dodge
16339,2019.01.14,2019.01.14,Donkervoort
16383,2019.01.14,2019.01.14,DR Motor
16415,2019.01.14,2019.01.14,DS Automobiles
51552,2019.01.14,2019.01.14,Dutton
51794,2019.01.14,2019.01.14,e.GO
16436,2019.01.14,2019.01.14,Estrima
27,2019.01.14,2019.01.14,Ferrari
28,2019.01.14,2019.01.14,Fiat
51543,2019.01.14,2019.01.14,FISKER
51542,2019.01.14,2019.01.14,Gac Gonow
16337,2019.01.14,2019.01.14,Galloper
16386,2019.01.14,2019.01.14,GAZ
16392,2019.01.14,2019.01.14,Geely
16403,2019.01.14,2019.01.14,GEM
51540,2019.01.14,2019.01.14,GEMBALLA
51792,2019.01.14,2019.01.14,Genesis
51791,2019.01.14,2019.01.14,Gillet
16421,2019.01.14,2019.01.14,Giotti Victoria
2153,2019.01.14,2019.01.14,GMC
16382,2019.01.14,2019.01.14,Great Wall
16409,2019.01.14,2019.01.14,Grecav
51512,2019.01.14,2019.01.14,Haima
51534,2019.01.14,2019.01.14,Hamann
31,2019.01.14,2019.01.14,Honda
15674,2019.01.14,2019.01.14,HUMMER
51767,2019.01.14,2019.01.14,Hurtan
33,2019.01.14,2019.01.14,Hyundai
16355,2019.01.14,2019.01.14,Infiniti
15629,2019.01.14,2019.01.14,Innocenti
16402,2019.01.14,2019.01.14,Iso Rivolta
35,2019.01.14,2019.01.14,Isuzu
14882,2019.01.14,2019.01.14,Iveco
16387,2019.01.14,2019.01.14,IZH
37,2019.01.14,2019.01.14,Jaguar
38,2019.01.14,2019.01.14,Jeep
16417,2019.01.14,2019.01.14,Karabag
39,2019.01.14,2019.01.14,Kia
51781,2019.01.14,2019.01.14,Koenigsegg
50060,2019.01.14,2019.01.14,KTM
40,2019.01.14,2019.01.14,Lada
41,2019.01.14,2019.01.14,Lamborghini
42,2019.01.14,2019.01.14,Lancia
15641,2019.01.14,2019.01.14,Land Rover
16426,2019.01.14,2019.01.14,LDV
43,2019.01.14,2019.01.14,Lexus
16393,2019.01.14,2019.01.14,Lifan
16353,2019.01.14,2019.01.14,Ligier
14890,2019.01.14,2019.01.14,Lincoln
44,2019.01.14,2019.01.14,Lotus
16359,2019.01.14,2019.01.14,Mahindra
51780,2019.01.14,2019.01.14,MAN
16435,2019.01.14,2019.01.14,Mansory
16410,2019.01.14,2019.01.14,Martin Motors
45,2019.01.14,2019.01.14,Maserati
51803,2019.01.14,2019.01.14,Maxus
16348,2019.01.14,2019.01.14,Maybach
46,2019.01.14,2019.01.14,Mazda
51519,2019.01.14,2019.01.14,McLaren
16399,2019.01.14,2019.01.14,Melex
48,2019.01.14,2019.01.14,MG
16361,2019.01.14,2019.01.14,Microcar
51766,2019.01.14,2019.01.14,Minauto
16338,2019.01.14,2019.01.14,MINI
50,2019.01.14,2019.01.14,Mitsubishi
51782,2019.01.14,2019.01.14,Mitsuoka
51,2019.01.14,2019.01.14,Morgan
16388,2019.01.14,2019.01.14,Moskvich
51554,2019.01.14,2019.01.14,MP Lafer
51788,2019.01.14,2019.01.14,MPM Motors
52,2019.01.14,2019.01.14,Nissan
53,2019.01.14,2019.01.14,Oldsmobile
15670,2019.01.14,2019.01.14,Oldtimer
16341,2019.01.14,2019.01.14,Pagani
51553,2019.01.14,2019.01.14,Panther Westwinds
55,2019.01.14,2019.01.14,Peugeot
50083,2019.01.14,2019.01.14,PGO
16350,2019.01.14,2019.01.14,Piaggio
51770,2019.01.14,2019.01.14,Plymouth
56,2019.01.14,2019.01.14,Pontiac
57,2019.01.14,2019.01.14,Porsche
15636,2019.01.14,2019.01.14,Proton
51768,2019.01.14,2019.01.14,Puch
16412,2019.01.14,2019.01.14,Qoros
16425,2019.01.14,2019.01.14,Qvale
