model_id,created,updated,model,make_id
16414,2019.01.14,2019.01.14,Allroad,9
16416,2019.01.14,2019.01.14,A2,9
16581,2019.01.14,2019.01.14,50,9
18000,2019.01.14,2019.01.14,QUATTRO,9
1619,2019.01.14,2019.01.14,100,9
1620,2019.01.14,2019.01.14,200,9
1622,2019.01.14,2019.01.14,80,9
1623,2019.01.14,2019.01.14,90,9
1624,2019.01.14,2019.01.14,A3,9
1626,2019.01.14,2019.01.14,A4,9
1628,2019.01.14,2019.01.14,A6,9
1629,2019.01.14,2019.01.14,A8,9
1630,2019.01.14,2019.01.14,Cabriolet,9
1631,2019.01.14,2019.01.14,Coupe,9
1633,2019.01.14,2019.01.14,S6,9
1634,2019.01.14,2019.01.14,V8,9
2108,2019.01.14,2019.01.14,S4,9
2109,2019.01.14,2019.01.14,S2,9
15123,2019.01.14,2019.01.14,S8,9
15627,2019.01.14,2019.01.14,TT,9
15637,2019.01.14,2019.01.14,S3,9
15735,2019.01.14,2019.01.14,RS,9
18683,2019.01.14,2019.01.14,Q7,9
18925,2019.01.14,2019.01.14,R8,9
19047,2019.01.14,2019.01.14,A5,9
19048,2019.01.14,2019.01.14,S5,9
19083,2019.01.14,2019.01.14,A1,9
19155,2019.01.14,2019.01.14,Q5,9
19216,2019.01.14,2019.01.14,A7,9
19715,2019.01.14,2019.01.14,Q3,9
19728,2019.01.14,2019.01.14,RS2,9
19729,2019.01.14,2019.01.14,RS3,9
19730,2019.01.14,2019.01.14,RS4,9
19731,2019.01.14,2019.01.14,RS5,9
19732,2019.01.14,2019.01.14,RS6,9
20055,2019.01.14,2019.01.14,TTS,9
20056,2019.01.14,2019.01.14,TT RS,9
74969,2019.01.14,2019.01.14,RS Q5,9
20494,2019.01.14,2019.01.14,A6 allroad,9
20369,2019.01.14,2019.01.14,S1,9
20385,2019.01.14,2019.01.14,RS Q3,9
20493,2019.01.14,2019.01.14,A4 allroad,9
20155,2019.01.14,2019.01.14,S7,9
20295,2019.01.14,2019.01.14,RS7,9
20164,2019.01.14,2019.01.14,SQ5,9
21001,2019.01.14,2019.01.14,Others,9
74373,2019.01.14,2019.01.14,Q2,9
74734,2019.01.14,2019.01.14,Q8,9
74735,2019.01.14,2019.01.14,SQ2,9
74439,2019.01.14,2019.01.14,SQ7,9
15953,2019.01.14,2019.01.14,732,13
16402,2019.01.14,2019.01.14,Z8,13
16406,2019.01.14,2019.01.14,X5,13
16436,2019.01.14,2019.01.14,633,13
16558,2019.01.14,2019.01.14,315,13
16598,2019.01.14,2019.01.14,745,13
18308,2019.01.14,2019.01.14,Z4,13
18327,2019.01.14,2019.01.14,760,13
18383,2019.01.14,2019.01.14,545,13
18387,2019.01.14,2019.01.14,X3,13
18400,2019.01.14,2019.01.14,645,13
18480,2019.01.14,2019.01.14,116,13
18481,2019.01.14,2019.01.14,118,13
18482,2019.01.14,2019.01.14,120,13
1639,2019.01.14,2019.01.14,316,13
1640,2019.01.14,2019.01.14,318,13
1641,2019.01.14,2019.01.14,320,13
1642,2019.01.14,2019.01.14,323,13
1643,2019.01.14,2019.01.14,324,13
1644,2019.01.14,2019.01.14,325,13
1645,2019.01.14,2019.01.14,328,13
1646,2019.01.14,2019.01.14,M3,13
1647,2019.01.14,2019.01.14,518,13
1648,2019.01.14,2019.01.14,520,13
1649,2019.01.14,2019.01.14,523,13
1650,2019.01.14,2019.01.14,524,13
1651,2019.01.14,2019.01.14,525,13
1652,2019.01.14,2019.01.14,530,13
1653,2019.01.14,2019.01.14,535,13
1654,2019.01.14,2019.01.14,540,13
1655,2019.01.14,2019.01.14,M5,13
1656,2019.01.14,2019.01.14,635,13
1657,2019.01.14,2019.01.14,725,13
1658,2019.01.14,2019.01.14,728,13
1659,2019.01.14,2019.01.14,730,13
1660,2019.01.14,2019.01.14,735,13
1661,2019.01.14,2019.01.14,740,13
1662,2019.01.14,2019.01.14,750,13
1663,2019.01.14,2019.01.14,840,13
1664,2019.01.14,2019.01.14,850,13
1665,2019.01.14,2019.01.14,Z3,13
1666,2019.01.14,2019.01.14,Z1,13
1667,2019.01.14,2019.01.14,M1,13
2145,2019.01.14,2019.01.14,528,13
2163,2019.01.14,2019.01.14,2002,13
15779,2019.01.14,2019.01.14,330,13
15780,2019.01.14,2019.01.14,628,13
18588,2019.01.14,2019.01.14,130,13
18577,2019.01.14,2019.01.14,M6,13
18709,2019.01.14,2019.01.14,650,13
18710,2019.01.14,2019.01.14,550,13
18491,2019.01.14,2019.01.14,630,13
18805,2019.01.14,2019.01.14,335,13
19078,2019.01.14,2019.01.14,123,13
19079,2019.01.14,2019.01.14,135,13
19084,2019.01.14,2019.01.14,125,13
19110,2019.01.14,2019.01.14,X6,13
19242,2019.01.14,2019.01.14,X1,13
19541,2019.01.14,2019.01.14,Active Hybrid 7,13
19617,2019.01.14,2019.01.14,Z4 M,13
21097,2019.01.14,2019.01.14,340,13
19714,2019.01.14,2019.01.14,640,13
19741,2019.01.14,2019.01.14,1er M Coupé,13
20027,2019.01.14,2019.01.14,Active Hybrid 5,13
20364,2019.01.14,2019.01.14,X4,13
20481,2019.01.14,2019.01.14,228,13
20149,2019.01.14,2019.01.14,114,13
20174,2019.01.14,2019.01.14,X5 M,13
20175,2019.01.14,2019.01.14,X6 M,13
20187,2019.01.14,2019.01.14,Active Hybrid 3,13
20287,2019.01.14,2019.01.14,428,13
20288,2019.01.14,2019.01.14,435,13
20289,2019.01.14,2019.01.14,420,13
20319,2019.01.14,2019.01.14,i3,13
20320,2019.01.14,2019.01.14,i8,13
20393,2019.01.14,2019.01.14,M4,13
20397,2019.01.14,2019.01.14,216,13
20398,2019.01.14,2019.01.14,418,13
20399,2019.01.14,2019.01.14,425,13
75189,2019.01.14,2019.01.14,X7,13
75190,2019.01.14,2019.01.14,X7 M,13
20223,2019.01.14,2019.01.14,Z3 M,13
20326,2019.01.14,2019.01.14,220,13
20327,2019.01.14,2019.01.14,218,13
20328,2019.01.14,2019.01.14,225,13
20329,2019.01.14,2019.01.14,235,13
20330,2019.01.14,2019.01.14,430,13
20958,2019.01.14,2019.01.14,214,13
21100,2019.01.14,2019.01.14,830,13
75109,2019.01.14,2019.01.14,Active Hybrid X6,13
21073,2019.01.14,2019.01.14,Others,13
21157,2019.01.14,2019.01.14,M2,13
74322,2019.01.14,2019.01.14,X4 M,13
74769,2019.01.14,2019.01.14,X2,13
74335,2019.01.14,2019.01.14,440,13
74386,2019.01.14,2019.01.14,140,13
74387,2019.01.14,2019.01.14,230,13
74388,2019.01.14,2019.01.14,240,13
74993,2019.01.14,2019.01.14,620,13
16364,2019.01.14,2019.01.14,Express,29
16396,2019.01.14,2019.01.14,Expedition,29
16518,2019.01.14,2019.01.14,F 150,29
16519,2019.01.14,2019.01.14,F 250,29
16607,2019.01.14,2019.01.14,Excursion,29
18274,2019.01.14,2019.01.14,Fusion,29
18295,2019.01.14,2019.01.14,Econoline,29
18315,2019.01.14,2019.01.14,Mercury,29
18372,2019.01.14,2019.01.14,Streetka,29
18389,2019.01.14,2019.01.14,F 350,29
18390,2019.01.14,2019.01.14,Focus C-Max,29
1756,2019.01.14,2019.01.14,Capri,29
1757,2019.01.14,2019.01.14,Escort,29
1758,2019.01.14,2019.01.14,Fiesta,29
1759,2019.01.14,2019.01.14,Galaxy,29
1760,2019.01.14,2019.01.14,Granada,29
1761,2019.01.14,2019.01.14,Ka/Ka+,29
1762,2019.01.14,2019.01.14,Maverick,29
1763,2019.01.14,2019.01.14,Mondeo,29
1764,2019.01.14,2019.01.14,Orion,29
1765,2019.01.14,2019.01.14,Scorpio,29
1766,2019.01.14,2019.01.14,Sierra,29
1767,2019.01.14,2019.01.14,Aerostar,29
1768,2019.01.14,2019.01.14,Bronco,29
1769,2019.01.14,2019.01.14,Explorer,29
1770,2019.01.14,2019.01.14,Probe,29
1771,2019.01.14,2019.01.14,Taurus,29
